Printing (some) relocations for /bin/ls

SHdr:{name=.rela.plt, sh_name=0x87, sh_type=SHT_RELA, sh_flags=0x42, sh_addr=0x2cb8, sh_offset=0x2cb8, sh_size=0x9f0, sh_link=0x6, sh_info=0x19, sh_addralign=0x8, sh_entsize=0x18}

Relocations:
 [ 96] Rela:{r_offset=0x22f70, r_info=0x6400000007, r_addend=0x0, r_sym=0x64, r_type=0x7}
 [ 97] Rela:{r_offset=0x22f78, r_info=0x6500000007, r_addend=0x0, r_sym=0x65, r_type=0x7}
 [ 98] Rela:{r_offset=0x22f80, r_info=0x6600000007, r_addend=0x0, r_sym=0x66, r_type=0x7}
 [ 99] Rela:{r_offset=0x22f88, r_info=0x6800000007, r_addend=0x0, r_sym=0x68, r_type=0x7}
 [100] Rela:{r_offset=0x22f90, r_info=0x6900000007, r_addend=0x0, r_sym=0x69, r_type=0x7}
 [101] Rela:{r_offset=0x22f98, r_info=0x6a00000007, r_addend=0x0, r_sym=0x6a, r_type=0x7}
 [102] Rela:{r_offset=0x22fa0, r_info=0x6b00000007, r_addend=0x0, r_sym=0x6b, r_type=0x7}
 [103] Rela:{r_offset=0x22fa8, r_info=0x6c00000007, r_addend=0x0, r_sym=0x6c, r_type=0x7}
 [104] Rela:{r_offset=0x22fb0, r_info=0x6d00000007, r_addend=0x0, r_sym=0x6d, r_type=0x7}
 [105] Rela:{r_offset=0x22fb8, r_info=0x6e00000007, r_addend=0x0, r_sym=0x6e, r_type=0x7}

